id,name,Released,background_image,rating,PlayTime,platforms/0/Platform/name,platforms/1/Platform/name,platforms/2/Platform/name,platforms/3/Platform/name,platforms/4/Platform/name,Genres/0/Name,Genres/1/Name,Tags/0/Name,Tags/1/Name,Tags/2/Name,Tags/3/Name,Tags/4/Name,Tags/5/Name,Tags/6/Name,Tags/7/Name,Tags/8/Name,Tags/9/Name,Tags/10/Name,Tags/11/Name,Tags/12/Name,Tags/13/Name,Tags/14/Name,Tags/15/Name,Tags/16/Name,Tags/17/Name,Tags/18/Name,Tags/19/Name,Tags/20/Name,Tags/21/Name,Tags/22/Name,Tags/23/Name,Tags/24/Name,Genres/2/Name,platforms/5/Platform/name,Tags/25/Name,Tags/26/Name,Tags/27/Name,platforms/6/Platform/name,platforms/7/Platform/name,platforms/8/Platform/name,platforms/9/Platform/name,platforms/10/Platform/name,Genres/3/Name,Genres/4/Name,Tags/28/Name,Tags/29/Name,Tags/30/Name,Tags/31/Name
3498,Grand Theft Auto V,2013-09-17T00:00:00,https://media.rawg.io/media/games/b11/b115b2bc6a5957a917bc7601f4abdda2.jpg,4.48,68,PC,PlayStation 4,PlayStation 3,Xbox 360,Xbox One,Action,Adventure,Full controller support,Steam Achievements,Atmospheric,Comedy,Co-op,Crime,First-Person,Funny,Great Soundtrack,Moddable,Multiplayer,Open World,RPG,Sandbox,Singleplayer,Third Person,Third-Person Shooter,cooperative,,,,,,,,,,,,,,,,,,,,,,,
4200,Portal 2,2011-04-19T00:00:00,https://media.rawg.io/media/games/328/3283617cb7d75d67257fc58339188742.jpg,4.61,11,PlayStation 3,PC,Xbox 360,Linux,macOS,Shooter,Puzzle,Captions available,Commentary available,Full controller support,Includes level editor,Steam Achievements,Steam Cloud,Atmospheric,Steam Workshop,Comedy,Co-op,Female Protagonist,First-Person,FPS,Funny,Local Co-Op,Multiplayer,Online Co-Op,Science,Sci-fi,Singleplayer,Space,Story Rich,cooperative,steam-trading-cards,stats,,,,,,,,,,,,,,,,
3328,The Witcher 3: Wild Hunt,2015-05-18T00:00:00,https://media.rawg.io/media/games/088/088b41ca3f9d22163e43be07acf42304.jpg,4.68,52,PC,Xbox One,Nintendo Switch,PlayStation 4,,Action,Adventure,Full controller support,Action RPG,Atmospheric,Choices Matter,Dark,Dark Fantasy,Fantasy,Great Soundtrack,Magic,Mature,Medieval,Multiple Endings,Nudity,Open World,RPG,Sandbox,Singleplayer,Story Rich,Third Person,controller support,,,,,,RPG,,,,,,,,,,,,,,,
5286,Tomb Raider (2013),2013-03-05T00:00:00,https://media.rawg.io/media/games/81b/81b138691f027ed1f8720758daa0d895.jpg,4.07,11,PlayStation 4,PC,PlayStation 3,Xbox 360,Xbox One,Action,Adventure,Full controller support,Action-Adventure,Atmospheric,Cinematic,Classic,Dinosaurs,Exploration,Female Protagonist,Lara Croft,Multiplayer,Quick-Time Events,Retro,RPG,Singleplayer,Stealth,Story Rich,Third Person,Third-Person Shooter,,,,,,,,,macOS,,,,,,,,,,,,,,
5679,The Elder Scrolls V: Skyrim,2011-11-11T00:00:00,https://media.rawg.io/media/games/e9c/e9cbc91e2090638ddab6ae0b3d334f90.jpg,4.41,43,PC,PlayStation 3,Xbox 360,Nintendo Switch,,Action,RPG,Action RPG,Partial Controller Support,Steam Achievements,Steam Cloud,Atmospheric,Steam Workshop,Character Customization,Dark Fantasy,Dragons,Fantasy,First-Person,Great Soundtrack,Lore-Rich,Magic,Medieval,Moddable,Open World,RPG,Sandbox,Singleplayer,Story Rich,Third Person,role-playing,steam-trading-cards,,,,,,,,,,,,,,,,,
12020,Left 4 Dead 2,2009-11-17T00:00:00,https://media.rawg.io/media/games/d58/d588947d4286e7b5e0e12e1bea7d9844.jpg,4.1,9,PC,Xbox 360,,,,Action,Shooter,Captions available,Commentary available,Full controller support,Includes Source SDK,Steam Achievements,Steam Cloud,Steam Workshop,Valve Anti-Cheat enabled,Co-op,First-Person,FPS,Gore,Horror,Local Co-Op,Moddable,Multiplayer,Online Co-Op,Post-apocalyptic,Replay Value,Singleplayer,Survival,Survival Horror,Tactical,Team-Based,Zombies,,,cooperative,steam-trading-cards,stats,,,,,,,,,,,
802,Borderlands 2,2012-09-18T00:00:00,https://media.rawg.io/media/games/588/588c6bdff3d4baf66ec36b1c05b793bf.jpg,4.05,9,PC,PlayStation 3,Xbox 360,PlayStation 4,macOS,Action,Shooter,Full controller support,Action RPG,Steam Achievements,Steam Cloud,Atmospheric,Comedy,Co-op,Dark Humor,FPS,Funny,Futuristic,Loot,Memes,Multiplayer,Online Co-Op,Open World,RPG,Sci-fi,Singleplayer,Stylized,cooperative,steam-trading-cards,,,,RPG,Xbox One,,,,,,,,,,,,,,
4062,BioShock Infinite,2013-03-26T00:00:00,https://media.rawg.io/media/games/fc1/fc1307a2774506b5bd65d7e8424664a7.jpg,4.38,12,Linux,PC,PlayStation 3,PlayStation 4,Xbox 360,Action,Shooter,Full controller support,Alternate History,Steam Achievements,Steam Cloud,Atmospheric,Controller,Dystopian,Fantasy,First-Person,FPS,Gore,Great Soundtrack,Linear,Political,RPG,Sci-fi,Singleplayer,Steampunk,Story Rich,Time Travel,steam-trading-cards,,,,,,Xbox One,,,,,,,,,,,,,,
13536,Portal,2007-10-09T00:00:00,https://media.rawg.io/media/games/7fa/7fa0b586293c5861ee32490e953a4996.jpg,4.52,4,macOS,Android,PC,Linux,PlayStation 3,Action,Adventure,Captions available,Commentary available,Includes level editor,Includes Source SDK,Partial Controller Support,Steam Achievements,Atmospheric,Classic,Comedy,Dark Humor,Female Protagonist,First-Person,FPS,Funny,Great Soundtrack,Physics,Science,Sci-fi,Short,Singleplayer,Story Rich,,,,,Puzzle,Xbox 360,,,,,,,,,,,,,,
3439,Life is Strange,2015-01-30T00:00:00,https://media.rawg.io/media/games/562/562553814dd54e001a541e4ee83a591c.jpg,4.11,7,Android,Xbox 360,macOS,iOS,Linux,Adventure,,Full controller support,Atmospheric,Choices Matter,Episodic,Female Protagonist,Great Soundtrack,Memes,Multiple Endings,Mystery,Point & Click,Short,Singleplayer,Story Rich,Third Person,Time Manipulation,Time Travel,Walking Simulator,steam-trading-cards,,,,,,,,,Xbox One,,,,PlayStation 4,PC,PlayStation 3,,,,,,,,
